dataset,model,kind,acc,complexity,int8_kb
UT-HAR,DecisionTree,classical,81.93333333333332,481,
UT-HAR,RandomForest,classical,91.93333333333334,8720,
UT-HAR,TinyMLP,classical,95.26666666666665,14663,
UT-HAR,TinyMLP_nn,tiny-nn,87.6,184583,184.0
UT-HAR,TinyCNN8,tiny-nn,86.13333333333334,5823,11.1
UT-HAR,TinyCNN16,tiny-nn,94.93333333333332,12919,18.7
UT-HAR,TinyCNN32,tiny-nn,96.66666666666667,30951,37.6
CSI-HAR,DecisionTree,classical,41.42857142857143,75,
CSI-HAR,RandomForest,classical,57.38095238095239,1380,
CSI-HAR,TinyMLP,classical,58.0952380952381,8583,
CSI-HAR,TinyMLP_nn,tiny-nn,57.14285714285713,106759,108.0
CSI-HAR,TinyCNN8,tiny-nn,54.52380952380952,3695,9.1
CSI-HAR,TinyCNN16,tiny-nn,59.523809523809526,8663,14.6
CSI-HAR,TinyCNN32,tiny-nn,62.142857142857146,22439,29.3
