Model,lr,batch,Accuracy
CNN,0.01,32,95.24
CNN,0.01,64,94.05
CNN,0.01,128,89.29
CNN,0.001,32,95.24
CNN,0.001,64,96.43
CNN,0.001,128,82.14
CNN,0.0001,32,92.86
CNN,0.0001,64,89.29
CNN,0.0001,128,85.71
Transformer,0.01,32,76.19
Transformer,0.01,64,82.14
Transformer,0.01,128,90.48
Transformer,0.001,32,92.86
Transformer,0.001,64,94.05
Transformer,0.001,128,91.67
Transformer,0.0001,32,84.52
Transformer,0.0001,64,76.19
Transformer,0.0001,128,76.19
BiGRU,0.01,32,91.67
BiGRU,0.01,64,90.48
BiGRU,0.01,128,91.67
BiGRU,0.001,32,92.86
BiGRU,0.001,64,91.67
BiGRU,0.001,128,91.67
BiGRU,0.0001,32,83.33
BiGRU,0.0001,64,80.95
BiGRU,0.0001,128,77.38
